#Version: 1.0
#Software: 4D/19.5.0
#Date: 2024-07-04 23:11:50
#Remark: format CLF
#Fields: c-ip rfc-931 user date time http-request sc-status bytes_sent
127.0.0.1 - ELC Ariba User [05/Jul/2024:03:11:50 -429496729200] "POST /ELCAriba/ HTTP/1.1" 200 6
#Version: 1.0
#Software: 4D/19.5.0
#Date: 2024-07-04 23:19:04
#Remark: format ELF
#Fields: bytes_sent cs-cdns c-ip cs(cookie) cs(host) cs(referer) cs(user-agent) user method cs-sip sc-status cs-uri cs-uri-query cs-uri-stem date time time-taken
6 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=7A1C1333160346AF9AED38345AE59024" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:19:04 03:19:04 9362
6 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:19:18 03:19:18 4930
6 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:19:28 03:19:28 9
6 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:22:12 03:22:12 11304
6 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:28:11 03:28:11 10
0 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 401 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:33:30 03:33:30 5
6 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:33:43 03:33:43 10
1621 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 404 /ELCAribaman/ - /ELCAribaman/ 2024-07-05 03:40:27 03:40:27 3
6 127.0.0.1 127.0.0.1 "4DAdminSID=746C37FCE4D34ED182153661AB120C31; 4DSID_testOnWeb=1B668B9CD14847838A1ACA0CAB6377BE" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 03:40:41 03:40:41 9
#Version: 1.0
#Software: 4D/19.5.0
#Date: 2024-07-05 13:05:37
#Remark: format ELF
#Fields: bytes_sent cs-cdns c-ip cs(cookie) cs(host) cs(referer) cs(user-agent) user method cs-sip sc-status cs-uri cs-uri-query cs-uri-stem date time time-taken
0 127.0.0.1 127.0.0.1 "" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 401 /ELCAriba/ - /ELCAriba/ 2024-07-05 17:05:37 17:05:37 5
0 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 401 /ELCAriba/ - /ELCAriba/ 2024-07-05 17:24:15 17:24:15 1088499
11 10.0.0.1 10.0.0.1 "" "10.0.0.162:8080" "" "" - GET 10.0.0.1 200 / - / 2024-07-05 17:24:32 17:24:32 2
1621 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 404 /ELCAriba/ - /ELCAriba/ 2024-07-05 17:30:10 17:30:10 319705
1621 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 404 /ELCAriba/ - /ELCAriba/ 2024-07-05 17:37:27 17:37:27 28098
1621 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 404 /ELCAriba/ - /ELCAriba/ 2024-07-05 17:44:47 17:44:47 20966
1621 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 404 /ELCAriba/ - /ELCAriba/ 2024-07-05 17:46:57 17:46:57 25804
6 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 200 /ELCAriba/ - /ELCAriba/ 2024-07-05 17:50:43 17:50:43 204151
15 127.0.0.1 127.0.0.1 "4DSID_testOnWeb=F29FB5E61CFE458D8B83E557859CCFEC" "mlb.local:8080" "" "PostmanRuntime/7.39.0" ELC_Ariba_User POST 127.0.0.1 400 /ELCAriba/ - /ELCAriba/ 2024-07-05 18:32:07 18:32:07 205844
11 10.0.0.1 10.0.0.1 "" "10.0.0.162:8080" "" "" - GET 10.0.0.1 200 / - / 2024-07-05 18:43:27 18:43:27 5
